"ID","OWNERID","ISDELETED","NAME","CREATEDDATE","CREATEDBYID","LASTMODIFIEDDATE","LASTMODIFIEDBYID","SYSTEMMODSTAMP","ACON1__CAMPAIGN_ID__C","ACON1__CAMPAIGN_MEMBER_ID__C"
"a0s50000000CCb6AAG","0055000000175bQAAQ","false","a0s50000000CCb6","2013-02-28T17:29:39.000Z","0055000000175bQAAQ","2013-02-28T17:29:39.000Z","0055000000175bQAAQ","2013-02-28T17:29:39.000Z","70150000000gFm5",""
"a0s50000007tlo7AAA","005500000016e3qAAA","false","a0s50000007tlo7","2015-03-27T17:39:15.000Z","005500000016e3qAAA","2015-03-27T17:39:15.000Z","005500000016e3qAAA","2015-03-27T17:39:15.000Z","70150000000hENAAA2","00v5000001EnA6JAAV"
